Bureau,Gender,Grade,Name,Skills,YearsService
Comptroller and Global Financial Services (CGFS),female,N/A,    Katrina Lilly     ,"Hydrology, Research, Design, human resources, Administration",16
East Asian and Pacific Affairs (EAP),female,N/A,Keene,"Sharepoint, Planning",21
Overseas Buildings Operations (OBO),male,FS-5,Garrett Murphy,"interagency, Portuguese, Management, Foreign Policy, Economics, Human Resources",5
Conflict and Stabilization Operations (CSO),male,N/A,    Jim Rhodes ,"education, seo, German, Finance, design, portuguese, disease response, Excel",4
Consular Affairs (CA),female,FS-5,Anita Myers,"Healthcare, training, German, french, Sharepoint, Marketing, Data Analysis, Economics, spanish",23
"Management Policy, Rightsizing and Innovation (PRI)",female,FS-2,Vivian Einhorn,"data analysis, Web Development, Hydrology, IT, SEO, Disease Response, Japanese",19
"Management Policy, Rightsizing and Innovation (PRI)",male,FS1,Buddy Vescio   ,"Editing, Powerpoint, Communications, data analysis, Foreign Policy",6
Global Youth Issues (GYI),female,GS-10,Mccormick,"marketing, Data Analysis, Network Security, Tourism, Editing, Interagency",2
Executive Secretariat (S/ES),female,FS-1,Claudia Tremblay,"Graphics, Marketing, climatology, Data Analysis",21
"Population, Refugees, and Migration (PRM)",male,GS-8,     Alba     ,"Spanish, economics, planning, Graphics, Data Analysis, french, climatology, German, SEO, Cloud Computing",16
"Management Policy, Rightsizing and Innovation (PRI)",male,FS 6,Bebout ,"japanese, Sharepoint, Editing, Outlook, interagency, Hydrology, communications, economics, Network Security, french",15
Inspector General (OIG),male,FS-6,Grant Nightingale     ,"Operations, Government, graphics, Human Resources, Cloud Computing, marketing",10
Allowances (A/OPR/ALS),female,FS-3,Margarita Casteel   ,,24
Counterterrorism (CT),female,FS-3,Mary Fegueroa,"Japanese, Interagency, Powerpoint, Hydrology, Planning, Budget, Outlook, Web Development, Network Security, finance, chinese",15
Executive Secretariat (S/ES),male,FS-8,Francis Vereen,"Interagency, Government, disease response, Research, Leadership, Economics, Web Development, Training",18
Executive Secretariat (S/ES),male,GS-10,Glen Davis,editing,5
Consular Affairs (CA),female,FS-7,Murray,"interagency, Cloud Computing, Email, Portuguese, Government, Sharepoint, Communications, Engineering",20
Executive Secretariat (S/ES),male,N/A,John Small     ,"portuguese, IT, Sharepoint, German, healthcare, engineering, Graphics",3
Protocol (S/CPR),female,FS-5,     Sarah Castillo  ,"outlook, Climatology, French, Operations",11
Global AIDS Coordinator (S/GAC),female,N/A,Myrna Chew,"Education, Spanish, Tourism, German, Administration, Chinese, Data Analysis",13
Counterterrorism (CT),male,FS-1,Gregory Baker,"Engineering, Email, disaster response, cloud computing, Climatology, Marketing, Disease Response, German, SEO, Operations, Hydrology, Budget",25
"Democracy, Human Rights, and Labor (DRL)",male,GS10,Walker,Social Media,12
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-7,    Alison Ungerecht,"Graphics, Design, sharepoint, Cloud Computing, Editing, Government, excel",10
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Maria Christopher,"human resources, powerpoint, Web Development, Management, Outlook",6
Public Affairs (PA),male,GS-13,     Mark Roland,,11
Oceans and International Environmental and Scientific Affairs(OES),female,GS-14,Ryan Adams,"Government, Graphics, IT, Visualization, Administration, Economics, Social Media, Education, Editing",24
Medical Services (MED),male,FS 5,George Maasch,"Planning, Administration, climatology, Spanish, Powerpoint, Network Security, Design, French, Research, it, Human Resources",15
Oceans and International Environmental and Scientific Affairs(OES),male,GS-10,Joseph Hernandez,Planning,2
Legal Adviser (L),female,GS-12,Alicia Sumrall,"Network Security, Data Analysis, budget, human resources, email, Chinese, planning, Spanish, Management",21
Global AIDS Coordinator (S/GAC),male,GS-8,  Chester Wheatley,"Data Analysis, foreign policy, german, Social Media, Management, Design, Healthcare, network security, Chinese, Powerpoint, climatology, Tourism",1
Global Criminal Justice (GCJ),female,N/A,Carmela Turner,"Email, Visualization, French, Network Security, SEO, Portuguese, Communications, Foreign Policy, Government, Outlook, Data Analysis, Tourism",2
Legislative Affairs (H),female,N/A,   Lucille Hoyt,"Disease Response, Network Security, IT",7
Allowances (A/OPR/ALS),male,FS-3,Wayne Albrekht,"social media, Sharepoint, Healthcare, Writing, Economics, Disease Response, Network Security",25
Information Resource Management (IRM),male,GS-9,Wayne Dixon,"Email, Operations, Planning, Design, Portuguese, economics, German, research, visualization, Finance",4
Intelligence and Research (INR),male,N/A,Terry White  ,"german, Education, design, Portuguese, Disease Response, Engineering, Marketing, Finance",13
Administration (A),male,GS-12,Bill Erben,"Disease Response, human resources, French, Tourism, Design, Management",9
Intelligence and Research (INR),female,GS 12,   Jacqueline Wetenkamp,,19
Comptroller and Global Financial Services (CGFS),male,N/A,Brian Lowe    ,"Planning, Operations, Visualization",8
Western Hemisphere Affairs (WHA),male,GS9,   Daniel Schwartz,"hydrology, seo, sharepoint, japanese, Outlook, Training, Disease Response, Planning, Cloud Computing, web development, Education",4
Mission to the United Nations (USUN),female,FS 5,Lisa Dean,"Planning, Finance, Foreign Policy, Social Media, French, Research",20
Administration (A),male,N/A,Thomas Scuderi ,Engineering,11
Political-Military Affairs (PM),female,FS9,Norma Chandler    ,"Portuguese, Interagency, Social Media, Engineering, Training, Graphics, Editing, marketing, budget, Leadership, Web Development",10
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-4,Laurence Johnson,"Research, Marketing, Chinese, Spanish, Excel, Tourism, Social Media, Operations",4
Trafficking in Persons (TIP),female,FS-2,     Mary Simpkins,"Graphics, interagency, Japanese, Writing",4
Foreign Service Institute (FSI),female,FS-9,Clance,"Training, hydrology, Disaster Response, Planning, Outlook, Design, Management, Data Analysis",14
Administration (A),female,N/A,Faith Williams,"portuguese, japanese, German, Leadership, operations, economics, email",15
South and Central Asian Affairs (SCA),male,GS-10,James Moore,"Graphics, Spanish, Tourism, Web Development, Foreign Policy",13
Administration (A),female,FS-6,     Hazel Evans,"Portuguese, Foreign Policy, Powerpoint, Human Resources, Graphics, Disease Response, finance, Research",11
Counterterrorism (CT),male,GS-7,Kenneth Anderson,"Chinese, Administration, Excel",7
Near Eastern Affairs (NEA),female,N/A,     Gloria Willett,"it, Cloud Computing, Web Development, Editing, Marketing, French",3
Global Women's Issues (S/GWI),female,SFS-1,Clara Chockley,Data Analysis,20
Global Youth Issues (GYI),female,N/A,Janet James,"Editing, Foreign Policy, Tourism, web development",22
International Narcotics and Law Enforcement Affairs (INL),female,GS10,Mary Pifer,"Economics, Human Resources, Training, disaster response, leadership, Writing, Healthcare",1
Political-Military Affairs (PM),female,FS-9,Jo Perdue,"Engineering, Powerpoint, finance, disaster response, SEO, Portuguese, french, foreign policy, Tourism",2
Energy Resources (ENR),male,FS-8,  Kurt Trudell     ,"Social Media, Network Security",15
European and Eurasian Affairs (EUR),female,GS-12,Joan Sporle,,10
Counterterrorism (CT),female,FS-5, Sharon Turner ,"Japanese, Budget, Communications, Climatology, Powerpoint, Chinese, Outlook, Marketing, disaster response, French",5
Foreign Assistance (F),female,N/A,Marlene Jones,"research, Portuguese, SEO, Hydrology, German, Government",10
Economic and Business Affairs (EB),male,N/A,Robert Hamilton  ,"network security, Government, communications, Disaster Response, Chinese, Design, japanese, Cloud Computing, SEO, Web Development, Leadership, sharepoint",8
East Asian and Pacific Affairs (EAP),female,FS-5,    Hazel Warren,"Visualization, Network Security, Foreign Policy, Engineering, Design, economics, government, Disaster Response, leadership",19
Overseas Buildings Operations (OBO),female,FS-6,  Dawn Hughes,"Communications, Hydrology, Web Development, Sharepoint",8
Consular Affairs (CA),male,FS-8,Curtis Cluff    ,,22
Foreign Service Institute (FSI),male,N/A,Elliott Nork   ,"Cloud Computing, Social Media, budget",23
"Democracy, Human Rights, and Labor (DRL)",female,GS-7,Roxanne Lopez,"Data Analysis, cloud computing, sharepoint, Foreign Policy, Disease Response, IT, Excel, Powerpoint, Graphics, Economics, Climatology",23
Consular Affairs (CA),male,FS-8,Jess Cheesman  ,"Writing, Cloud Computing, Government, Email, Design, Graphics, Outlook, it, Disease Response",23
Budget and Planning (BP),male,GS-7,Chad Vizcarrondo     ,"Tourism, Climatology, Spanish",9
International Organization Affairs (IO),male,N/A,Chris Barnes,"it, chinese, Operations, Data Analysis, Tourism, Web Development, Planning, Government, spanish, sharepoint, Communications",17
Foreign Missions (OFM),female,FS-5,Laura Powell    ,"Management, German, Editing, excel, Chinese, design",22
Comptroller and Global Financial Services (CGFS),female,N/A,   Doris Hampton ,"economics, editing, Sharepoint, Operations, SEO, interagency, Marketing",14
Counterterrorism (CT),male,GS-8,Thomas Fallon   ,,14
Counterterrorism (CT),female,FS-4,Arlena Singletary,,8
Oceans and International Environmental and Scientific Affairs(OES),female,GS-11,   Deborah Nguyen,"Disaster Response, interagency",3
"Democracy, Human Rights, and Labor (DRL)",male,FS-5,   Antonio Freeman,"hydrology, Social Media",17
Foreign Service Institute (FSI),female,N/A,Mary Brown,Chinese,10
"Arms Control, Verification and Compliance (AVC)",male,GS-10,  Wayne Levy,"web development, french, Graphics, foreign policy, Planning, budget, Human Resources, administration",12
"Democracy, Human Rights, and Labor (DRL)",male,FS 6,Brooks Ferrer,"Editing, Education, Government",20
International Narcotics and Law Enforcement Affairs (INL),male,GS-15,Norman Burns,"disease response, Government, Portuguese, Budget, spanish",20
Diplomatic Security (DS),male,GS15,     Scott Dent     ,"Government, Economics",4
East Asian and Pacific Affairs (EAP),female,FS4,   Rosie Cummins  ,Education,22
Public Affairs (PA),female,FS-2,Yesenia Bish  ,human resources,17
International Information Programs (IIP),female,FS-2,Jeannine Dennis     ,Economics,5
International Organization Affairs (IO),male,N/A,Jerry Collier    ,"outlook, Graphics, Disease Response, Finance, Planning, marketing, Budget",3
Counterterrorism (CT),female,FS-3,Janet Boardman    ,"research, Chinese, Social Media, Outlook",23
Protocol (S/CPR),female,FS-5,Mary Fields,"Disease Response, Editing, Foreign Policy, Data Analysis, Disaster Response, Economics, Hydrology, design, german",1
Foreign Assistance (F),male,GS-9,Douglas Martindale     ,"Healthcare, Operations, Network Security, Design, foreign policy, engineering, Leadership, Planning",14
South and Central Asian Affairs (SCA),male,FS-9,   Lloyd Robinson,"Graphics, Sharepoint, Government, finance, Design, Email",16
"Population, Refugees, and Migration (PRM)",female,FS-4,Lila Delaune ,Portuguese,20
Counterterrorism (CT),male,SES-2,Hopkins  ,"Japanese, Education, IT, Email, Portuguese, Communications, Tourism, Leadership",25
Intelligence and Research (INR),female,N/A,     Tracy Martinez,"French, Writing, Web Development, Operations, Budget, Leadership",7
Quadrennial Diplomacy and Development Review (QDDR),female,SFS-5,Ona Gilbertson,,21
Counterterrorism (CT),male,FS-4,Clinton Morris   ,"Social Media, it, Spanish, Engineering, Planning, Powerpoint",14
Allowances (A/OPR/ALS),male,N/A,Yancey,"Government, SEO, Japanese, Climatology, Education",5
Foreign Missions (OFM),female,FS-4,  Cynthia Popp,"Leadership, communications, Social Media, Web Development, German, Writing, Chinese",20
Economic and Business Affairs (EB),male,SFS 3,Wayne Fallon,"Leadership, engineering, Communications",20
Legislative Affairs (H),female,FS-7,Karen Richards,"Chinese, Operations, Foreign Policy, Social Media, French, SEO, Powerpoint, administration, leadership, Engineering, design, Web Development",21
Diplomatic Security (DS),female,N/A, Paige Smith,"Editing, IT, marketing, Leadership, chinese, Training, Writing",23
Mission to the United Nations (USUN),male,FS-4,Michael Gist,"Operations, Outlook, Marketing, Japanese, web development, French, Human Resources",16
Conflict and Stabilization Operations (CSO),female,GS-14,Diana King,"Cloud Computing, Research, training, Portuguese, planning, Operations, Design, IT, Leadership",18
Foreign Service Institute (FSI),female,N/A,Jean Tarter,"Healthcare, Web Development, research, economics, Outlook",20
Conflict and Stabilization Operations (CSO),male,FS-2,Charlie Moreno,"Disaster Response, spanish",6
Global Criminal Justice (GCJ),male,GS-8,John Morrison,"Email, Marketing, disease response, it, Sharepoint",7
"Management Policy, Rightsizing and Innovation (PRI)",female,GS-11,Tawnya Simpson,"Administration, web development, Writing, Chinese, Budget, Cloud Computing, Disease Response, Human Resources",24
Political-Military Affairs (PM),female,N/A,Joyce Hernandez,"Sharepoint, Economics, Research, Management, seo, email, Government, engineering, Data Analysis",2
Global AIDS Coordinator (S/GAC),male,FS-2,Curtis Mcneal,"Disease Response, Powerpoint, editing, planning, Human Resources, hydrology",13
Public Affairs (PA),female,FS-7,    Darlene Coleman,"Graphics, climatology, web development, Editing, spanish, Email, Government, Sharepoint, Operations",10
"Management Policy, Rightsizing and Innovation (PRI)",female,N/A,Ina Burkette ,"human resources, Communications, Healthcare, Administration, Leadership, finance, Foreign Policy, SEO, Economics, IT, German, Portuguese",2
International Organization Affairs (IO),male,GS-9,Steven Felix   ,,10
Consular Affairs (CA),male,GS-8,Gregory Miller,"Tourism, Writing",8
South and Central Asian Affairs (SCA),female,GS-8,Amy Winstead,,20
Economic and Business Affairs (EB),female,GS-8,Mary Butt,"outlook, Interagency, Hydrology, Engineering",16
Educational and Cultural Affairs (ECA),female,GS9,Doris Ledbetter   ,"Education, Visualization, Planning, leadership, japanese, writing, Graphics, Disaster Response, management, cloud computing, email",17
Educational and Cultural Affairs (ECA),female,FS-5,  Margie Ansley ,Visualization,15
"Democracy, Human Rights, and Labor (DRL)",female,FS 7,Jennifer Briggs,"Human Resources, portuguese, Outlook",18
Energy Resources (ENR),male,FS-4,   John Gross,"Planning, french, Communications, sharepoint, Spanish, leadership, Economics, Chinese, German",5
Global Criminal Justice (GCJ),male,FS-4,Eric Witt  ,"communications, Government, SEO, Spanish, Budget, planning, human resources, Research, administration",22
Global AIDS Coordinator (S/GAC),male,N/A,Steve Castillo,"Graphics, Foreign Policy, Visualization, Cloud Computing, Hydrology, Spanish, climatology, Operations",19
International Narcotics and Law Enforcement Affairs (INL),female,GS-8,Jamie Zuidema,"social media, Spanish, Writing, Operations, planning, disease response, Chinese, Email",17
Executive Secretariat (S/ES),female,FS-2,Cynthia Fralin,Email,8
Economic and Business Affairs (EB),female,FS 1,Kathleen Mark,"Education, Excel, Planning, Human Resources, Tourism, Writing",4
Executive Secretariat (S/ES),male,FS-1,Bailey,"Editing, social media, chinese, Hydrology, Interagency",20
Near Eastern Affairs (NEA),male,FS-9,Arlen Keller ,"Education, Powerpoint, SEO, Interagency, Communications",8
Political-Military Affairs (PM),male,FS-9,John Howell    ,"Interagency, Excel, Social Media",14
East Asian and Pacific Affairs (EAP),female,GS-8,Sue Perry,"marketing, Climatology, Visualization, network security, Editing",8
Budget and Planning (BP),female,N/A,Belinda King  ,"Budget, Sharepoint, web development, Finance, disaster response",15
"Management Policy, Rightsizing and Innovation (PRI)",male,N/A,     Christopher Finney,"Japanese, Tourism, Spanish, Healthcare, Leadership, Training, Economics, German",18
Energy Resources (ENR),female,N/A,Hazel Palacios,Communications,22
International Organization Affairs (IO),male,GS-8,Ronald Thatcher  ,,1
Policy Planning Staff (S/P),male,N/A,Justin Moore    ,"graphics, hydrology, Government, Human Resources, Tourism, training",21
Chief Information Officer (CIO),female,N/A,Robin Fabian,"engineering, French, Communications, management, Powerpoint, Economics, Portuguese, Government, Outlook",3
Intelligence and Research (INR),female,GS-13,Dorothy Anderson     ,"Powerpoint, Cloud Computing, German, email, Administration, IT",5
Global Youth Issues (GYI),male,N/A,    John Dabe     ,"government, Climatology",9
Mission to the United Nations (USUN),female,GS-7,     Nicole Grignon ,,11
Intelligence and Research (INR),female,GS-13,   Green     ,"Data Analysis, operations, excel, Cloud Computing, Email, Foreign Policy, Interagency, IT, Government, Communications",21
Budget and Planning (BP),female,FS-1,Deanna Garrison   ,Cloud Computing,6
Diplomatic Security (DS),female,FS-7,Sonia Manning   ,"planning, Training, Healthcare, Web Development, Management, Disaster Response, portuguese, Foreign Policy, Outlook, Human Resources, Writing",3
"Arms Control, Verification and Compliance (AVC)",male,FS-3,    Moor,"Economics, human resources, Social Media, Communications, Chinese, Sharepoint",19
Trafficking in Persons (TIP),female,N/A,Jane Angle,"communications, Web Development, Graphics",23
Energy Resources (ENR),female,FS 7,Karen Godfrey,"Portuguese, Planning, Spanish, Social Media, Data Analysis, Excel, Network Security",20
"Democracy, Human Rights, and Labor (DRL)",male,GS9,Anthony Clement,"Healthcare, Training, tourism, Cloud Computing, Powerpoint",9
Legal Adviser (L),male,N/A,David Oslund,"spanish, communications, excel, design, Chinese, Operations",16
Inspector General (OIG),male,N/A,James Willis,"Email, Spanish, Disease Response, Data Analysis, visualization, Writing, Economics, Outlook",10
Conflict and Stabilization Operations (CSO),female,GS 11,Rebecca Wright   ,"Foreign Policy, IT, Budget, Research, Education, Excel, visualization, Data Analysis, SEO, leadership, Planning",25
Medical Services (MED),female,FS-1,     Sharon Hanson,"Network Security, Design, Social Media",5
Foreign Service Institute (FSI),female,FS1,Stoll  ,"Social Media, seo, Outlook, spanish, Interagency, training, french, Tourism",7
Administration (A),male,FS-9,Vincent Mirza,"IT, Operations, Cloud Computing, Powerpoint, French, chinese, seo",7
Global Youth Issues (GYI),female,FS-4,Claude Glisson,Spanish,9
Chief Information Officer (CIO),female,N/A,Ruth David,,3
Foreign Assistance (F),female,N/A, Bea Castillo ,"Writing, Chinese, IT, Spanish, editing, Web Development, social media, Administration, Portuguese, Cloud Computing, human resources",17
Human Resources (DGHR),female,FS-1,Norma Curtice,"Sharepoint, healthcare",10
Consular Affairs (CA),male,GS-9,Leslie Zeinert ,"Chinese, Editing, Engineering, Human Resources, Powerpoint, design",11
Global Engagement Center(GEC),female,GS-10,     Marla Riggs,"Healthcare, Education, German, Cloud Computing, Sharepoint, human resources, Communications, Training, Climatology",14
Near Eastern Affairs (NEA),female,N/A,     Kerri Buck,Leadership,22
International Information Programs (IIP),male,FS-9,  Thomas Lozano,"Chinese, Education",4
Legal Adviser (L),male,N/A,Adam Watts,"Economics, Spanish, Data Analysis, government, Disease Response",14
East Asian and Pacific Affairs (EAP),female,N/A,     Gladys Edwards,"Outlook, it, finance, Writing, Climatology, Disaster Response, Powerpoint, French",13
Inspector General (OIG),female,GS-14,Angela Young,"French, Interagency, Excel, design, Operations",1
Allowances (A/OPR/ALS),male,GS-8,Israel Serano   ,"Excel, Portuguese, Marketing, IT, SEO, Training, Interagency, engineering, French, Chinese",5
African Affairs (AF),male,GS 13,Higgins,"Data Analysis, German, Powerpoint, Education, Disaster Response, visualization, Spanish, Disease Response, Social Media",15
Energy Resources (ENR),female,FS-4,Gertie Moore,"Visualization, Excel, Hydrology, Web Development, Leadership",13
"Management Policy, Rightsizing and Innovation (PRI)",female,GS-8,Joan Lawson,"Hydrology, tourism",9
Legislative Affairs (H),female,FS-9,Janet Shaw,"network security, Climatology",1
Information Resource Management (IRM),male,N/A,     Jason Javier  ,"visualization, communications, German, Japanese, Finance, Budget, email, Chinese, tourism",8
Chief Information Officer (CIO),female,FS9,Heather Jackson,"government, Communications, Research, Portuguese, Administration, Management, French, economics",25
Inspector General (OIG),female,FS-8,Rhoda Cranford,"Engineering, Communications, Climatology, spanish",14
African Affairs (AF),female,N/A,Daphne Rivera,"Climatology, Editing, Leadership, Sharepoint, Graphics, Operations, IT, Marketing",20
Administration (A),male,N/A,Carroll Lacy,"Excel, German, Graphics, Powerpoint, operations, Sharepoint, Healthcare, seo, disaster response, Communications, Foreign Policy, tourism",6
Science & Technology Adviser (STAS),male,GS-14,Joshua Zavala,"Writing, Cloud Computing, Tourism, research, French, Spanish, Budget, Climatology, Education, Disaster Response",6
Global Youth Issues (GYI),male,GS-7,Harry Davis,"data analysis, Chinese, Graphics, Disease Response, spanish, finance, IT, design, powerpoint, Healthcare, Marketing, Excel",18
International Narcotics and Law Enforcement Affairs (INL),female,FS-9,  Michael,"Marketing, Education, planning, leadership, French, Spanish, tourism, Healthcare, Engineering, sharepoint",2
Policy Planning Staff (S/P),female,GS 11,Myrtle Stephenson,Writing,3
Overseas Buildings Operations (OBO),male,FS1,Alfred Nunmaker,"Communications, Disease Response, network security, Visualization",14
Energy Resources (ENR),female,FS-3,Stacy Goldston,"Network Security, Human Resources, Sharepoint, Climatology, email, Engineering, Outlook, Design, Hydrology, Budget, research, Government",12
Global Engagement Center(GEC),female,FS 5,   Barbara Cumming    ,"Interagency, Disaster Response, Tourism, Spanish, German, Powerpoint, Government, Graphics, chinese, Marketing",20
Oceans and International Environmental and Scientific Affairs(OES),female,GS-7,Coppa     ,"Engineering, Disaster Response, Graphics, social media, German, cloud computing, Data Analysis, Outlook",5
