Bureau,Gender,Grade,Title,Name,YearsService
Protocol (S/CPR),female,FS1,Manager,Cathy Carpenter,13
Administration (A),male,GS-9,Team Member,Jeffery Lay    ,13
Intelligence and Research (INR),male,FS-6,Analyst,     Max Green,11
Mission to the United Nations (USUN),male,FS-3,Manager,Donald Ambrose   ,7
Foreign Missions (OFM),male,FS-6,Team Member,Thomas Lewis,22
International Narcotics and Law Enforcement Affairs (INL),male,GS-8,Team Member, Joseph Adams   ,12
Administration (A),male,GS-12,Analyst,Michael Harris    ,6
Intelligence and Research (INR),male,FS-5,Team Member,     Jesus Shams     ,2
Science & Technology Adviser (STAS),male,N/A,Manager,Lawrence Vandusen,19
Administration (A),female,FS-8,Team Member,Jennie Cunanan,17
Medical Services (MED),male,FS-6,Team Member,Ian Marlett ,13
Chief Information Officer (CIO),male,FS 3,Manager,  Daniel Hall,12
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-7,Team Member,Richard Provost,5
"Population, Refugees, and Migration (PRM)",male,FS2,Manager,Glen Esquivel,6
Conflict and Stabilization Operations (CSO),male,FS-5,Team Member,Thomas Collins,22
Counterterrorism (CT),female,N/A,Team Member,Joann Denny,2
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Mgmt,Marion Yale,11
East Asian and Pacific Affairs (EAP),female,GS-13,Analyst,  Laurie Woo,6
Overseas Buildings Operations (OBO),female,FS-7,Team Member,     Cleo Lyons,18
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,Nita Landingham,24
East Asian and Pacific Affairs (EAP),male,N/A,Team Member,Bryce Ziadie,4
Science & Technology Adviser (STAS),female,GS-13,Team Member,Christina Crabtree,6
European and Eurasian Affairs (EUR),male,FS-3,Manager,Edward Haynes ,11
Human Resources (DGHR),male,GS10,Team Member,Douglas Canady,24
Chief Information Officer (CIO),female,N/A,Manager,Theresa Williams,17
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS-13,Manager,Carol Wilson,25
Legal Adviser (L),female,GS13,Manager,Frances Littleton ,6
Oceans and International Environmental and Scientific Affairs(OES),female,N/A,Manager,  Cannon   ,2
Comptroller and Global Financial Services (CGFS),male,N/A,Team Member,William Gindlesperger  ,20
